customer_id,age,gender,education,employment_years,income,existing_debt,num_delinquencies,city_size,has_mortgage,owns_car,hobby_score,random_index,survey_mood
1,22,F,secondary,25.0,9860.964688919932,2148.617192543694,3,small,0,0,-0.5404211536427813,43.71034883878691,1
2,27,M,vocational,38.0,7391.300248729449,2023.5742766690664,1,large,1,0,2.0632780674663405,16.769138374650648,4
3,47,M,higher,8.0,5145.494986289434,17878.46755297804,1,medium,0,1,0.083238545673141,2.164992491281104,3
4,34,M,primary,10.0,10644.508878011178,3662.866783146797,2,medium,0,0,0.4706949364015714,59.91167329766475,1
5,34,M,secondary,36.0,7605.356625044056,17988.686932368855,0,small,0,0,0.6695466999101263,4.170766990849273,3
6,50,M,secondary,20.0,8125.692033208247,5414.887378908018,0,medium,0,1,-1.5475145000724568,13.85534071601806,3
7,49,M,secondary,6.0,6890.071870339265,21612.107265271028,0,medium,0,1,1.1844506611261123,41.56492863616519,0
8,26,F,secondary,38.0,5283.2436746944095,5418.349881900285,1,small,0,1,-0.2075799427290999,24.337489380261847,4
9,33,F,vocational,19.0,11983.171437418823,10814.483122597054,0,small,1,1,-0.7547171200929946,23.07023465269059,1
10,49,M,vocational,17.0,9262.064953109711,7244.499641289956,1,large,0,0,-0.5620114583991546,86.09610368441469,4
11,23,F,secondary,9.0,4699.465335413173,19027.65128768278,2,medium,1,0,0.3065263945956999,67.60036392378908,4
12,34,M,primary,36.0,2489.17495061944,26071.446999573312,0,small,0,0,-0.4704015679903098,60.94327824848149,2
13,48,M,secondary,35.0,9012.977926700249,18200.57524594989,1,medium,0,0,-0.6822920083411602,55.83260062355727,1
14,53,M,secondary,11.0,3755.319351445732,14823.942560934964,2,medium,1,0,1.2363488544926735,61.94851750549672,3
15,28,M,vocational,21.0,6489.169754215272,5366.554561212139,1,small,0,1,0.742352582066242,86.89129993624618,3
16,53,F,higher,22.0,6142.687170962411,9163.37944916663,1,small,1,0,-0.6824392442839264,86.28649388025003,1
17,28,F,primary,40.0,6271.438849110807,37867.38525845719,1,small,1,0,-1.19484514459823,22.464747028456667,3
18,68,F,secondary,20.0,5893.669707032483,16990.299812830166,1,large,1,1,-1.2191674199060778,45.33371322042223,2
19,41,M,secondary,11.0,9424.157008900162,22936.957464432453,1,large,1,0,1.3769624323937024,69.95395913322731,1
20,54,M,secondary,2.0,9863.148252227602,18697.553859016545,0,medium,0,0,0.7428628638756865,28.17561122354605,3
21,69,F,vocational,4.0,4105.268961358273,10997.95046020344,2,medium,0,1,-0.471212160508875,34.04727102089311,2
22,59,F,secondary,22.0,6951.081844326332,9185.724158759293,1,large,0,0,0.6941565993395319,6.392157655993769,1
23,46,M,primary,27.0,1500.0,17877.108042269934,3,small,1,0,-0.470354679486748,38.48422847718312,2
24,25,M,vocational,35.0,9788.173202204527,6328.908229265216,2,medium,1,1,1.2800558669432596,1.1212426361899008,0
25,69,F,secondary,13.0,8262.016629183358,3316.8239144902504,0,small,1,1,-0.4204598933353841,74.14155871652159,1
26,38,F,secondary,37.0,6302.035114888841,8079.76619743873,1,large,0,0,-0.6256594431303633,28.323317193141094,3
27,30,M,higher,24.0,7278.500212475301,4798.528683945094,1,medium,0,1,0.8411290448272992,46.861018297525845,0
28,68,M,higher,21.0,9612.561600890942,1346.2184080970803,0,large,0,1,0.3867416868227666,10.300311958509422,0
29,36,M,secondary,3.0,5164.703676975408,11522.765279752924,0,medium,1,0,1.192567435087729,69.14025352894042,2
30,50,M,secondary,27.0,11015.673169286014,5537.199618618739,4,small,0,1,0.4609115387757645,76.21684898214299,0
31,41,F,secondary,10.0,12102.529995799416,10243.684280073843,0,small,1,0,-2.781992080457813,95.17184383561802,3
32,62,M,vocational,8.0,5665.217767476302,14483.651004338,1,large,0,1,-0.9512839988327992,95.2812239276129,1
33,52,F,vocational,1.0,7985.601567664968,3485.810641331363,1,,1,0,0.1374531056469362,27.180898233255547,2
34,50,F,vocational,7.0,6294.704496719072,7706.78515320317,1,large,1,1,0.9330497083000528,78.47722751280017,2
35,27,M,vocational,40.0,10478.17528703452,33033.18365338737,1,large,1,0,-1.451703827132891,48.69087336761127,4
36,61,M,secondary,39.0,5315.964456793298,8259.82845176005,2,small,1,1,0.8344566161668622,73.21881997530572,2
37,21,M,vocational,26.0,10928.66296997329,3566.997056043876,5,small,1,1,-0.9655120401981532,70.17783257015057,0
38,36,F,,19.0,7077.155051292451,1600.5943374885703,1,small,0,0,0.4157032739259732,97.7887201592468,2
39,24,F,secondary,0.0,7711.262730130891,8907.558568158638,1,large,0,0,-0.55655112584322,54.92696104015909,1
40,57,F,vocational,23.0,8676.912293150734,8011.008727900494,0,large,1,0,-0.3712531698421673,81.95240447793964,3
41,54,F,higher,29.0,7385.065686256425,6833.920374784504,0,small,1,1,-1.6762601960955117,28.86728848207477,2
42,58,F,vocational,18.0,5421.133044284138,8442.220183697234,2,,0,0,0.1478552437813512,37.01367438900491,3
43,30,F,higher,38.0,7449.082318978503,7469.980277927871,0,medium,0,0,0.3573766332939039,1.5923685437930324,4
44,45,M,higher,21.0,8350.823623253404,15513.273057531482,1,medium,1,1,0.7054425353457192,76.34432684070104,4
45,40,F,secondary,12.0,3476.503563068004,9570.004855350788,2,small,0,0,1.748538729975149,75.9996604188597,0
46,55,F,higher,10.0,9550.34122281879,12328.940520068783,2,small,1,1,1.3672185820499154,69.22506291070539,4
47,56,M,vocational,33.0,6294.884639487451,11413.608067668552,1,medium,0,1,-0.1955983870404368,66.36135261012996,2
48,45,F,secondary,6.0,5709.490417018787,4451.641475883594,0,medium,1,1,-0.6778118712294409,80.06476310048242,0
49,52,M,higher,34.0,8056.131829600574,771.3650427072403,1,small,0,0,0.9020123959342908,12.644620114135453,4
50,24,M,higher,10.0,7813.765385107179,13321.84331734944,4,large,0,1,-0.3506048053995204,61.11512143253002,0
51,30,M,vocational,8.0,6485.942649741553,6931.949133062157,0,small,1,1,-1.4849779003665744,39.635479913165824,3
52,59,M,vocational,4.0,11403.758254705011,14047.40725009435,2,large,0,1,-0.1894150699480773,42.47609402883344,1
