loan_id,customer_id,loan_amount,duration_months,interest_rate,loan_type,paid_on_time
1,2993,22210.02,35,0.0853,cash,1
2,4864,16132.12,43,0.1001,home_improvement,1
3,2811,25362.69,49,0.182,cash,0
4,2245,34108.6,54,0.0332,cash,1
5,1435,23320.97,50,0.0597,cash,0
6,3984,22042.25,16,0.1795,home_improvement,1
7,4729,25936.55,42,0.1442,cash,1
8,1887,44342.33,7,,cash,0
9,2480,40506.54,13,0.118,cash,0
10,2281,17156.35,23,0.1488,cash,1
11,3165,28548.22,40,0.0849,auto,1
12,2312,36074.78,53,0.0677,cash,0
13,3642,26240.88,46,0.0556,auto,1
14,4951,19403.02,31,0.1823,cash,1
15,1536,15519.51,10,0.1922,cash,0
16,1057,20887.61,20,0.1777,cash,1
17,2776,9741.6,41,0.2016,cash,0
18,2509,28058.01,56,0.204,cash,0
19,2128,32518.31,12,0.0642,home_improvement,0
20,774,16427.49,8,0.1901,cash,0
21,569,15945.16,34,0.1456,auto,1
22,2471,10494.82,50,0.235,home_improvement,1
23,3616,24202.46,18,0.3093,auto,1
24,2730,19902.13,49,0.1302,home_improvement,1
25,3892,7009.48,60,0.1248,cash,1
26,684,46234.23,34,0.1208,cash,1
27,4731,3995.31,44,0.1436,cash,1
28,3492,7041.88,20,0.1516,cash,1
29,3326,28455.69,44,0.2719,cash,1
30,4140,25913.9,29,,auto,1
31,4718,13571.27,50,0.1185,cash,1
32,4081,12991.49,25,0.1407,auto,0
33,2406,24120.97,37,0.0988,cash,1
34,3647,23403.11,13,0.0561,cash,0
35,2106,13664.87,42,0.1326,cash,1
36,705,28944.78,38,0.2567,home_improvement,1
37,4925,25146.73,26,0.1844,education,1
38,3108,32028.33,16,0.116,cash,0
39,3940,19551.59,58,0.1575,cash,1
40,3492,27291.72,60,0.2657,cash,1
41,1698,17945.55,33,0.1499,auto,0
42,3797,24869.73,37,0.0955,cash,1
43,1634,23220.39,41,0.1434,cash,1
44,3548,27632.87,12,0.1721,cash,1
45,4096,24675.47,19,0.1608,cash,1
46,3145,3000.38,39,0.2126,cash,1
47,2376,14361.22,40,0.145,cash,0
48,3639,20748.56,26,0.03,cash,0
49,358,24197.35,33,0.1636,cash,1
50,4262,27423.75,16,0.1602,cash,0
51,2505,24938.19,46,0.1569,education,1
52,2847,13657.78,22,0.0976,cash,1
53,1012,28263.05,60,0.2397,home_improvement,1
54,727,12718.6,20,0.0856,auto,1
55,1820,31369.3,8,0.0909,home_improvement,1
56,4080,31969.74,38,0.1286,cash,1
57,71,19909.09,14,0.2063,education,0
58,3306,14167.74,21,0.2085,cash,1
59,4952,13735.58,34,0.172,cash,1
60,3434,10154.04,8,0.1847,cash,1
61,1473,11696.4,18,0.0749,cash,1
62,1472,18375.9,50,0.055,cash,1
63,1669,14965.19,20,0.1214,home_improvement,0
64,749,5510.84,21,0.1843,auto,1
65,2991,15647.86,30,0.1856,home_improvement,1
66,3904,20836.01,22,0.0965,auto,0
67,2584,16947.99,58,0.0911,cash,1
68,248,11945.75,29,0.1984,cash,0
69,4326,2000.0,18,0.1495,cash,1
70,2012,30308.95,49,0.0364,education,1
71,2553,19643.47,7,0.0838,auto,0
72,2545,22886.3,39,0.1643,cash,0
73,3170,21627.39,32,0.0807,auto,1
74,88,24476.32,10,0.0908,home_improvement,0
75,1219,22165.26,19,0.0926,education,1
76,2986,20887.49,31,0.1837,auto,1
77,1943,26869.66,7,0.1395,auto,0
78,599,28800.93,47,0.2238,cash,1
